time,open,high,low,close,tick_volume,spread,real_volume
2026-07-21 05:40:00,4037.08,4040.25,4035.06,4035.63,1957,7,0
2026-07-21 05:45:00,4035.61,4036.22,4033.96,4034.1,1354,15,0
2026-07-21 05:50:00,4034.1,4034.89,4030.91,4033.3,1511,11,0
2026-07-21 05:55:00,4033.31,4038.45,4032.83,4037.98,1656,8,0
2026-07-21 06:00:00,4037.99,4042.18,4037.72,4040.59,1973,9,0
2026-07-21 06:05:00,4040.59,4042.32,4038.03,4040.75,1426,9,0
2026-07-21 06:10:00,4040.75,4041.44,4037.64,4037.96,1283,18,0
2026-07-21 06:15:00,4037.96,4038.63,4036.7,4037.31,1236,17,0
2026-07-21 06:20:00,4037.29,4041.97,4037.01,4041.81,1712,15,0
2026-07-21 06:25:00,4041.81,4051.25,4041.31,4047.43,2113,7,0
2026-07-21 06:30:00,4047.43,4049.58,4044.66,4044.8,1278,11,0
2026-07-21 06:35:00,4044.72,4045.12,4042.71,4044.26,1007,8,0
2026-07-21 06:40:00,4044.18,4044.38,4041.73,4041.81,749,8,0
2026-07-21 06:45:00,4041.79,4045.56,4041.72,4045.38,1044,12,0
2026-07-21 06:50:00,4045.4,4046.92,4044.81,4045.56,823,10,0
2026-07-21 06:55:00,4045.54,4047.44,4045.27,4046.88,881,8,0
2026-07-21 07:00:00,4046.87,4050.14,4046.87,4047.95,935,7,0
2026-07-21 07:05:00,4047.95,4051.86,4047.02,4048.56,1264,9,0
2026-07-21 07:10:00,4048.57,4048.59,4045.56,4045.88,844,15,0
2026-07-21 07:15:00,4045.92,4046.39,4043.77,4043.9,728,23,0
2026-07-21 07:20:00,4043.9,4046.73,4043.9,4044.91,651,19,0
2026-07-21 07:25:00,4044.91,4045.32,4043.64,4044.59,652,9,0
2026-07-21 07:30:00,4044.6,4045.93,4044.17,4045.6,634,12,0
2026-07-21 07:35:00,4045.48,4046.55,4045.08,4046.02,742,10,0
2026-07-21 07:40:00,4045.99,4047.55,4045.01,4047.14,714,15,0
2026-07-21 07:45:00,4047.12,4047.69,4045.5,4046.44,583,12,0
2026-07-21 07:50:00,4046.44,4047.36,4045.42,4047.24,590,15,0
2026-07-21 07:55:00,4047.26,4049.75,4046.72,4049.55,698,23,0
2026-07-21 08:00:00,4049.53,4050.37,4048.28,4048.49,859,16,0
2026-07-21 08:05:00,4048.47,4050.35,4046.22,4050.17,961,14,0
2026-07-21 08:10:00,4050.2,4051.7,4048.11,4051.46,1139,8,0
2026-07-21 08:15:00,4051.37,4053.67,4048.93,4050.37,1023,9,0
2026-07-21 08:20:00,4050.37,4051.42,4048.0,4051.01,845,9,0
2026-07-21 08:25:00,4051.01,4056.34,4050.93,4054.49,1275,14,0
2026-07-21 08:30:00,4054.46,4060.48,4054.46,4059.63,2068,13,0
2026-07-21 08:35:00,4059.64,4061.84,4058.81,4061.15,1368,13,0
2026-07-21 08:40:00,4061.15,4066.39,4060.21,4065.87,2178,8,0
2026-07-21 08:45:00,4066.24,4067.91,4063.8,4065.96,1648,8,0
2026-07-21 08:50:00,4065.96,4066.47,4062.24,4062.84,1705,8,0
2026-07-21 08:55:00,4062.84,4064.65,4061.24,4061.38,1023,16,0
2026-07-21 09:00:00,4061.33,4066.51,4061.31,4065.28,1604,8,0
2026-07-21 09:05:00,4065.29,4067.75,4063.97,4067.72,1611,11,0
2026-07-21 09:10:00,4067.72,4072.46,4066.67,4071.28,1793,9,0
2026-07-21 09:15:00,4071.28,4072.62,4068.32,4071.46,1497,9,0
2026-07-21 09:20:00,4071.46,4074.37,4069.79,4073.58,1402,9,0
2026-07-21 09:25:00,4073.41,4074.16,4071.06,4072.4,1296,12,0
2026-07-21 09:30:00,4072.45,4074.58,4071.81,4072.53,1649,18,0
2026-07-21 09:35:00,4072.53,4076.02,4072.41,4074.31,1494,7,0
2026-07-21 09:40:00,4074.34,4080.57,4073.75,4076.93,1631,8,0
2026-07-21 09:45:00,4076.93,4084.13,4076.85,4082.92,1815,8,0
2026-07-21 09:50:00,4082.92,4083.32,4079.06,4080.06,1291,15,0
2026-07-21 09:55:00,4080.06,4080.57,4078.23,4078.39,1290,15,0
2026-07-21 10:00:00,4078.44,4080.14,4077.07,4077.36,1279,8,0
2026-07-21 10:05:00,4077.27,4077.99,4074.6,4074.6,1362,15,0
2026-07-21 10:10:00,4074.9,4075.35,4071.58,4072.0,1422,16,0
2026-07-21 10:15:00,4072.0,4073.45,4070.93,4073.34,1105,8,0
2026-07-21 10:20:00,4073.32,4073.32,4070.44,4070.58,881,12,0
2026-07-21 10:25:00,4070.62,4071.11,4068.23,4069.51,1197,7,0
2026-07-21 10:30:00,4069.48,4073.75,4067.59,4073.27,1221,8,0
2026-07-21 10:35:00,4073.31,4075.34,4072.49,4073.01,1056,12,0
2026-07-21 10:40:00,4072.99,4074.11,4071.2,4071.41,940,14,0
2026-07-21 10:45:00,4071.46,4072.56,4070.11,4071.46,1003,9,0
2026-07-21 10:50:00,4071.49,4072.06,4070.32,4070.4,896,9,0
2026-07-21 10:55:00,4070.4,4071.75,4069.73,4071.28,1052,9,0
2026-07-21 11:00:00,4071.26,4072.48,4065.99,4066.14,1549,7,0
2026-07-21 11:05:00,4066.14,4069.65,4065.42,4066.58,1387,7,0
2026-07-21 11:10:00,4066.58,4068.46,4065.68,4067.93,1167,8,0
2026-07-21 11:15:00,4067.93,4068.61,4066.02,4066.88,1107,8,0
2026-07-21 11:20:00,4066.88,4066.97,4063.02,4063.88,1134,8,0
2026-07-21 11:25:00,4063.86,4064.73,4062.82,4063.57,1154,8,0
